Gen,total_rating,scale_correctness_rating,zipfs_law_distance_pitches,zipfs_law_distance_intervals,neighbour_pitch_rating,melody_direction_rating,direction_stability_rating,unique_pitches_rating,bindings_rating,measures_rating,types_distance_rating,semitones_distance_rating,pitches_distance_rating,duration_distance_rating,offsets_distance_rating,absolute_rhythm_rating,absolute_types_rating,types_distr_rating,interval_distr_distance_rating,element_count_rating
1,40.92314388,0.330474557,3.707310821,1.281472981,0.336538462,0.073076923,0.073076923,0.046857464,0.3125,3.28125,1.395019713,2.293818512,1.437766086,1.697331138,2.482113523,7,3.8,1.407908251,6.995614035,2.971014493
2,39.50579384,0.355757576,0.286002801,4.286963391,0.473684211,0.048582996,0.059109312,0.042378674,0.5,3.28125,1.215161181,2.340771669,1.206603898,1.822471517,2.834248189,6.6,3.6,0.656485807,7.287626962,2.608695652
3,38.43767134,0.144385027,0.788928669,0.892980157,0.483870968,0.026964433,0.026964433,0.028154681,0.5625,2.8125,1.176870712,2.092116703,1.334377446,1.780357539,2.897584906,6.8,3,1.880434783,8.810130164,2.898550725
4,35.1049129,0.403343783,0.146832785,1.482958851,0.405405405,0.013721414,0.121413721,0.016705517,1.1875,3.28125,1.097126329,3.506487297,1.429398327,1.15041915,2.356638778,6.4,2.6,1.363768116,5.895566619,2.246376812
5,34.6985692,0.328232823,0.995111023,0.719188264,0.380434783,0.011371237,0.011371237,0.039141414,0.3125,2.8125,0.97757728,2.297475226,1.212677079,1.798501302,2.611545505,6.8,3.4,1.52173913,5.425724638,3.043478261
6,32.06016921,0.375757576,0.762408735,1.741183019,0.189873418,0.003115871,0.003115871,0.030672579,0.875,2.8125,1.550371952,3.602181866,1.727649646,1.620891765,2.302471439,6,2.4,1.768833405,2.265156562,2.028985507
7,32.11786818,0.380635625,0.522027197,1.56489346,0.27027027,0.027234927,0.027234927,0.027667984,0.625,3.28125,1.103535881,2.026318116,1.355686996,1.466279463,2.165764711,6.2,2,1.685366994,5.939426268,1.449275362
8,31.54475239,0.436222692,0.862633098,0.127151115,0.192307692,0.023076923,0.130769231,0.018716578,0.375,3.28125,1.106320237,2.104061914,1.479922848,1.524984979,2.235796635,6.2,2.4,1.453416149,5.709064327,1.884057971
9,30.56909659,0.341189675,1.799691081,0.144113838,0.208333333,0.015598291,0.015598291,0.026714514,0.3125,3.28125,1.097000746,2.031720709,1.357281368,1.467785959,2.150565916,6,2,1.53482936,5.335648148,1.449275362
10,29.54679771,0.439955107,0.102075875,0.781632377,0.362318841,0.025863991,0.025863991,0.015827922,0.25,3.28125,1.011293883,2.056906172,1.303777598,1.45222137,2.233894998,6.2,1.8,1.673913043,5.153190948,1.376811594
11,30.27837039,0.405025868,0.925831736,0.696325463,0.273972603,0.021496312,0.12918862,0.020292208,0.6875,3.28125,1.080982276,2.325525984,1.383880118,1.447170815,2.154869262,6.2,2,1.547641073,4.175678923,1.52173913
12,28.698036,0.409090909,0.782859059,0.113942105,0.2,0.046153846,0.153846154,0.025252525,0.3125,3.28125,0.918469253,1.883243644,1.273135698,1.39039141,2.535946145,6,2.8,0.219806763,4.830409357,1.52173913
13,27.30078344,0.385281385,0.090920824,0.008558785,0.1875,0.058653846,0.166346154,0.02892562,0.3125,3.28125,1.002054531,1.914075082,1.239214471,1.439806118,2.364297055,6,2.8,0.410582445,4.306469298,1.304347826
14,27.42428895,0.502586844,0.406428791,0.433833234,0.066666667,0.019487179,0.127179487,0.018972332,0.25,2.34375,1.173700222,2.264715876,1.538625849,1.273362501,2.134245164,6.2,2,1.826086957,3.467836257,1.376811594
15,27.48603855,0.480519481,0.356776049,0.918374016,0.133333333,0.007179487,0.100512821,0.018972332,0.3125,3.28125,0.964377657,2.069567856,1.17596277,1.372079587,2.202311778,6.2,3,0.369565217,2.783625731,1.739130435
16,27.28348136,0.539612997,0.030041538,0.506975343,0.135135135,0.013305613,0.094386694,0.021956857,0.1875,3.28125,1.062347068,2.01188982,1.231691715,1.214665994,2.447566905,6.2,3,0.224110672,3.486842105,1.594202899
17,26.39347328,0.529245948,0.088280256,0.648753859,0.128205128,0.002564103,0.105128205,0.025707899,0.375,3.28125,0.938838433,1.805111761,1.046768513,1.226657669,2.648344087,6,3,0.135722679,2.74122807,1.666666667
18,26.30503664,0.422816399,0.615486159,0.100356285,0.126582278,0.009542356,0.098149951,0.023863636,0.1875,3.28125,0.980480483,2.127030298,0.975222052,1.276045534,2.462574401,6,3,0.171367019,2.707639352,1.739130435
19,25.65867233,0.529245948,0.404318967,0.150174936,0.128205128,0.002564103,0.105128205,0.022918258,0.25,3.28125,0.980437963,1.934534907,1.115329794,1.316852907,2.181703773,6,2.8,0.193675889,2.668128655,1.594202899
20,26.55611014,0.540463458,0.337306179,0.616854067,0.133333333,0.007179487,0.100512821,0.021956857,0.375,3.28125,0.990464646,1.906011449,1.116322891,1.26324464,2.38292002,6,2.8,0.170323095,2.99122807,1.52173913
21,26.12142407,0.446345811,0.549939896,0.23590832,0.133333333,0.007179487,0.100512821,0.023863636,0.3125,3.28125,1.032199035,1.862907962,1.229264151,1.281563383,2.262680883,6,2.6,0.361771944,3.023391813,1.376811594
22,25.65923879,0.446345811,0.316125044,0.785468389,0.133333333,0.007179487,0.100512821,0.023863636,0.3125,2.34375,1.059833185,1.918102969,1.276615135,1.287869444,2.213084055,5.8,2.6,0.339130435,3.31871345,1.376811594
