Gen,total_rating,scale_correctness_rating,zipfs_law_distance_pitches,zipfs_law_distance_intervals,neighbour_pitch_rating,melody_direction_rating,direction_stability_rating,unique_pitches_rating,bindings_rating,measures_rating,types_distance_rating,semitones_distance_rating,pitches_distance_rating,duration_distance_rating,offsets_distance_rating,absolute_rhythm_rating,absolute_types_rating,types_distr_rating,interval_distr_distance_rating,element_count_rating
1,32.5934619,0.262032086,1.551106188,0.155656613,0.220588235,0.015250545,0.132897603,0.044732111,2.916666667,3.125,1.774768481,4.420765844,1.52327192,2.726762224,3.286247116,3.1,1,1.868183665,3.811637863,0.657894737
2,31.08313908,0.290909091,2.189387422,1.111505437,0.072463768,0.052334944,0.052334944,0.042328042,2.708333333,6.25,1.369229843,2.08394044,1.417068246,1.381709566,3.074265283,2.9,1.3,1.221276596,2.337981952,1.228070175
3,33.97455041,0.555106622,2.364347188,1.457037116,0.294117647,0.044662309,0.044662309,0.04958648,2.708333333,7.03125,1.197762917,1.839034091,1.282026809,1.487529498,2.528617576,3,1.1,2.313043478,3.580941811,1.096491228
4,31.0649871,0.443384338,0.235272426,2.059947592,0.294117647,0.002396514,0.150544662,0.057862781,2.291666667,7.03125,0.966518127,2.534030652,0.920663487,1.326411582,1.304790673,3,1.1,2.528428094,4.729982559,0.087719298
5,31.96998028,0.520696325,0.788393839,1.33827193,0.243902439,0.037488708,0.037488708,0.043518519,3.645833333,7.03125,1.217516743,2.29675549,1.145177335,1.531867522,1.923023275,2.9,0.9,2.059504132,3.826835842,0.48245614
6,30.07176225,0.545075758,0.099267389,1.402235676,0.182926829,0.000903342,0.000903342,0.055270655,2.916666667,5.46875,0.940656935,1.915566299,0.821438307,1.295160284,1.212211204,3.5,1.8,4.334235531,3.317336138,0.263157895
7,28.8203309,0.451778656,0.714442732,2.503630306,0.192307692,0.048433048,0.048433048,0.054882155,3.020833333,5.46875,1.10982969,2.239547054,1.11904504,1.416805232,1.608983209,2.7,0.9,0.611082694,3.997511922,0.614035088
8,28.76658596,0.503409091,0.044087078,0.476082166,0.365853659,0.037488708,0.037488708,0.050749923,3.020833333,6.25,1.262537532,2.048965487,1.505138773,1.857302149,2.387885234,2.9,0.8,0.533333333,4.0713957,0.614035088
9,28.01267927,0.536269916,0.4789917,1.307511243,0.12345679,0.043209877,0.043209877,0.0529723,3.020833333,6.25,1.115478288,2.138556209,1.532385997,1.808481775,1.926219681,2.7,0.8,0.55977245,3.180592992,0.394736842
10,28.46093397,0.609276438,0.225138127,1.983103928,0.235294118,0.068191721,0.068191721,0.04966606,3.125,5.46875,1.104582122,1.934141102,1.482068463,1.951412118,2.118756753,2.9,0.7,0.290821256,3.707943555,0.438596491
