Gen,total_rating,scale_correctness_rating,zipfs_law_distance_pitches,zipfs_law_distance_intervals,neighbour_pitch_rating,melody_direction_rating,direction_stability_rating,unique_pitches_rating,bindings_rating,measures_rating,types_distance_rating,semitones_distance_rating,pitches_distance_rating,duration_distance_rating,offsets_distance_rating,absolute_rhythm_rating,absolute_types_rating,types_distr_rating,interval_distr_distance_rating,element_count_rating
1,20.67486718,0.111111111,0.070741418,0.600496839,0.028037383,0.039791887,0.011754504,0.021889952,3.229166667,0,1.430971558,2.247993452,1.742439162,3.150113007,1.017757267,2.9,0.8,0.615003179,2.285698969,0.371900826
2,20.41634953,0.111111111,0.067642258,0.008427149,0.028037383,0.039791887,0.011754504,0.018600478,3.4375,0,1.430971558,2.268235828,1.752631714,3.139491491,1.017757267,3,0.8,0.615003179,2.297492897,0.371900826
3,21.59402371,0.127272727,0.805569453,0.412121675,0.027522936,0.048708976,0.002837416,0.022456352,3.333333333,0,1.384496242,2.339224822,1.728947566,3.184779033,1.00933402,2.9,0.9,0.64600551,2.432157454,0.289256198
4,20.77246593,0.12962963,0.404040658,0.380504456,0.028301887,0.054075083,0.002528691,0.020823096,3.229166667,0,1.417412498,2.252566722,1.693229693,3.207914189,1.020569262,2.9,0.8,0.707668653,2.152133915,0.371900826
5,20.87304033,0.111111111,0.284224605,0.242903,0.018691589,0.049137682,0.00240871,0.024201474,3.541666667,0,1.376287087,2.309572999,1.711061075,3.228144488,1.012106015,2.9,0.8,0.615003179,2.274619825,0.371900826
6,20.87304033,0.111111111,0.284224605,0.242903,0.018691589,0.049137682,0.00240871,0.024201474,3.541666667,0,1.376287087,2.309572999,1.711061075,3.228144488,1.012106015,2.9,0.8,0.615003179,2.274619825,0.371900826
7,20.71068133,0.110091743,0.226318477,0.155447486,0.018518519,0.044291714,0.007254677,0.020256254,3.645833333,0,1.426759491,2.214926388,1.696021441,3.197003127,1.023461688,2.9,0.8,0.630622674,2.263295801,0.330578512
8,20.86894428,0.110091743,0.03100879,0.345406781,0.027777778,0.044291714,0.007254677,0.01969697,3.645833333,0,1.410969286,2.219579317,1.713825859,3.176557338,1.023461688,2.9,0.9,0.630622674,2.33198782,0.330578512
9,20.73056991,0.110091743,0.036074902,0.118134053,0.027777778,0.044291714,0.007254677,0.023030303,3.75,0,1.410969286,2.224422006,1.738734366,3.163503802,1.023461688,2.9,0.9,0.630622674,2.291622406,0.330578512
10,20.86051796,0.111111111,0.284224605,0.242903,0.018691589,0.049137682,0.00240871,0.024201474,3.541666667,0,1.376287087,2.309572999,1.711061075,3.21562212,1.012106015,2.9,0.8,0.615003179,2.274619825,0.371900826
