Gen,total_rating,scale_correctness_rating,zipfs_law_distance_pitches,zipfs_law_distance_intervals,neighbour_pitch_rating,melody_direction_rating,direction_stability_rating,unique_pitches_rating,bindings_rating,measures_rating,types_distance_rating,semitones_distance_rating,pitches_distance_rating,duration_distance_rating,offsets_distance_rating,absolute_rhythm_rating,absolute_types_rating,types_distr_rating,interval_distr_distance_rating,element_count_rating
1,39.11161558,0.318584071,0.026411842,2.080131038,2.264150943,0.002528691,0.002528691,0.058501041,4.270833333,9.375,0.863986302,1.962213978,1.273302286,2.074810463,0.808694058,3.3,1.5,0.891589694,8.038349147,0
2,40.42341755,0.320754717,0.710053373,2.338917881,2.680412371,0.051546392,0,0.058314856,4.375,9.375,0.874355566,2.359615191,1.445043511,2.005481356,0.974927275,2.9,0.9,0.291926256,8.183556405,0.578512397
3,40.51242342,0.477876106,1.393993463,0.169675578,1.962616822,0.039791887,0.011754504,0.066645327,4.791666667,9.375,1.225753917,2.379961623,2.120756093,1.954326624,1.116162337,2.6,0.9,2.299088059,7.21413127,0.41322314
4,38.5735803,0.385964912,0.484493874,0.395911831,2.272727273,0.043955014,0.043955014,0.06465311,4.270833333,9.375,0.812713653,2.516052852,1.843929939,2.052770187,0.789985263,2.8,1.1,1.664201827,7.573787589,0.082644628
5,38.59555538,0.695652174,1.52691843,0.278601222,1.909090909,0.053045923,0.053045923,0.058158508,4.6875,9.375,0.800964183,2.46106941,1.824660872,2.009743047,0.945975838,2.9,1.1,1.536943382,6.296540935,0.082644628
6,36.27840586,0.672727273,0.16061235,0.195333164,1.904761905,0.04958272,0.04958272,0.057169005,4.270833333,9.375,0.738792445,2.228447408,1.898699978,2.028249869,0.996978252,2.9,1,1.455320248,5.883092051,0.41322314
7,36.0592028,0.689655172,0.548104766,0.057784368,1.666666667,0.034545126,0.034545126,0.059820426,4.270833333,9.375,0.832181275,2.150016475,1.862634132,2.041102737,0.918199983,2.8,1.1,1.722681359,5.812787226,0.082644628
8,35.8168825,1.196428571,0.328129994,1.361852646,1.730769231,0.03538858,0.03538858,0.053030303,4.166666667,7.8125,0.939733072,2.285421138,1.641537765,2.158494871,0.820465414,3.1,1.4,1.494037384,4.926459773,0.330578512
9,33.68291047,0.701754386,0.151304093,0.189276765,1.651376147,0.030360352,0.030360352,0.053813301,4.166666667,7.8125,0.805728725,2.167052388,1.561607663,2.142640667,0.830691989,3.1,1.4,1.21215819,5.675618784,0
10,33.74546113,0.339285714,0.636166306,0.004615871,2.110091743,0.048708976,0.048708976,0.061363636,4.0625,6.25,0.828181429,2.308049261,1.831535288,2.074496356,1.046011066,2.9,1,1.196185633,6.751626993,0.247933884
11,33.64981054,0.393162393,0.265592366,0.670971627,1.842105263,0.043317056,0.043317056,0.061363636,4.166666667,7.8125,0.840946042,2.33679181,1.748975159,2.072034073,0.887893055,2.9,1.1,0.898194062,5.40069102,0.165289256
12,32.48560833,0.379310345,0.368142079,0.107003997,1.681415929,0.030197975,0.030197975,0.059651308,4.166666667,7.8125,0.819562893,2.265728603,1.857434553,2.100415435,0.910552182,2.8,1.1,0.976946498,5.019881893,0
13,32.4891946,0.796460177,0.259136619,0.45694299,1.454545455,0.025773196,0.025773196,0.060501567,4.166666667,7.8125,0.935547388,2.201003253,1.654646152,2.104233797,0.793588214,2.9,1.1,0.701122487,4.958108813,0.082644628
14,32.35251028,0.778761062,0.350299147,0.181168066,1.363636364,0.025773196,0.025773196,0.060501567,4.166666667,7.8125,0.929578585,2.206732559,1.679778415,2.107344183,0.800174269,2.9,1.1,0.789348026,4.991830349,0.082644628
15,32.2266492,0.778761062,0.39762965,0.037982285,1.441441441,0.0302777,0.0302777,0.076774595,4.166666667,7.8125,0.952644211,2.104878702,1.672382832,2.112205702,0.889172579,2.9,1.1,0.87627613,4.846777944,0
16,31.39092225,0.778761062,0.160068111,0.02222155,1.261261261,0.0302777,0.0302777,0.074294671,4.166666667,7.8125,0.954623913,2.091948827,1.655249566,2.112205702,0.889172579,2.9,1.1,0.773334954,4.578057981,0
17,31.37655823,0.778761062,0.160068111,0.02222155,1.261261261,0.0302777,0.0302777,0.074294671,4.166666667,7.8125,0.932334287,2.127225574,1.660468129,2.10673039,0.877857501,2.9,1.1,0.757555649,4.578057981,0
18,31.37368087,0.778761062,0.160068111,0.02222155,1.261261261,0.0302777,0.0302777,0.057053292,4.166666667,7.8125,0.954623913,2.091948827,1.655249566,2.112205702,0.889172579,2.9,1.1,0.773334954,4.578057981,0
19,31.25780458,0.796460177,0.174534709,0.075399011,1.261261261,0.0302777,0.0302777,0.074294671,4.166666667,7.8125,0.932334287,2.126717412,1.656007844,2.10673039,0.877857501,2.9,1.1,0.757555649,4.378929599,0
20,31.25780458,0.796460177,0.174534709,0.075399011,1.261261261,0.0302777,0.0302777,0.074294671,4.166666667,7.8125,0.932334287,2.126717412,1.656007844,2.10673039,0.877857501,2.9,1.1,0.757555649,4.378929599,0
21,31.19210836,0.778761062,0.345979818,0.286347511,1.171171171,0.021268691,0.021268691,0.060501567,4.166666667,7.8125,0.932334287,2.097863087,1.659141249,2.092934987,0.877857501,3,1.1,0.757555649,4.009956419,0
22,30.92384118,0.778761062,0.235255725,0.274023199,1.171171171,0.0302777,0.0302777,0.060501567,4.166666667,7.8125,0.932334287,2.088482917,1.655624346,2.109430747,0.877857501,2.9,1.1,0.757555649,3.943120941,0
23,31.04709284,0.778761062,0.071919766,0.51107255,1.171171171,0.021268691,0.021268691,0.077742947,4.166666667,7.8125,0.932334287,2.141165961,1.62616998,2.103099241,0.877857501,2.9,1.1,0.757555649,3.97653868,0
24,30.92178801,0.778761062,0.235255725,0.274023199,1.171171171,0.0302777,0.0302777,0.063949843,4.166666667,7.8125,0.932334287,2.088482917,1.655624346,2.103929304,0.877857501,2.9,1.1,0.757555649,3.943120941,0
25,30.58418222,0.778761062,0.00033869,0.268468129,1.081081081,0.021268691,0.021268691,0.081191223,4.166666667,7.8125,0.932334287,2.132669401,1.629995689,2.079357734,0.877857501,3,1.1,0.757555649,3.842867724,0
26,30.57038912,0.778761062,0.00033869,0.268468129,1.081081081,0.021268691,0.021268691,0.067398119,4.166666667,7.8125,0.932334287,2.132669401,1.629995689,2.079357734,0.877857501,3,1.1,0.757555649,3.842867724,0
27,30.33257752,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.077742947,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.09359045,0.877857501,2.9,1.1,0.757555649,3.776032246,0
28,30.32223269,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.067398119,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.09359045,0.877857501,2.9,1.1,0.757555649,3.776032246,0
29,30.31878441,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.063949843,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.09359045,0.877857501,2.9,1.1,0.757555649,3.776032246,0
30,30.31878441,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.063949843,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.09359045,0.877857501,2.9,1.1,0.757555649,3.776032246,0
31,30.32659319,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.077742947,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.08760612,0.877857501,2.9,1.1,0.757555649,3.776032246,0
32,30.31280008,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.063949843,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.08760612,0.877857501,2.9,1.1,0.757555649,3.776032246,0
33,30.08197028,0.814159292,0.229401207,0.054256399,0.900900901,0.0302777,0.0302777,0.09153605,4.166666667,7.8125,0.979753948,2.066428822,1.594324166,2.090771802,0.856972527,2.9,1.1,0.757555649,3.606187449,0
34,30.14397403,0.778761062,0.126115213,0.107370844,1.081081081,0.039286709,0.039286709,0.093706294,4.166666667,7.8125,0.9285248,2.07149166,1.58643218,2.070330679,0.877857501,2.9,1.1,0.655365868,3.709196768,0
35,30.33741847,0.778761062,0.139115631,0.191497485,1.081081081,0.021268691,0.021268691,0.077742947,4.166666667,7.8125,0.932334287,2.110807039,1.631631952,2.09359045,0.877857501,2.9,1.1,0.757555649,3.643739342,0
36,30.33741847,0.778761062,0.139115631,0.191497485,1.081081081,0.021268691,0.021268691,0.077742947,4.166666667,7.8125,0.932334287,2.110807039,1.631631952,2.09359045,0.877857501,2.9,1.1,0.757555649,3.643739342,0
37,30.06363314,0.796460177,0.010006411,0.01899923,0.990990991,0.0302777,0.0302777,0.09153605,4.166666667,7.8125,0.932334287,2.137143151,1.614224739,2.08760612,0.877857501,2.9,1.1,0.757555649,3.709196768,0
38,30.31880723,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.077742947,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.079820167,0.877857501,2.9,1.1,0.757555649,3.776032246,0
39,29.8151637,0.747826087,0.210335883,0.389830667,1.061946903,0.030197975,0.030197975,0.073030303,4.0625,6.25,1.019272949,2.23573129,1.855685327,1.975153188,1.088243566,2.9,1.2,0.911570248,3.608352087,0.165289256
40,29.96634704,0.761061947,0.006213306,1.305762215,0.990990991,0.012259682,0.012259682,0.075819419,4.0625,6.25,1.034994304,2.145826218,1.818610031,1.984307245,1.014828641,2.9,1.1,0.961935211,3.446333523,0.082644628
41,28.53747297,0.796460177,0.062127839,0.199533586,0.990990991,0.0302777,0.021268691,0.077742947,4.0625,6.25,0.918126106,2.188640354,1.662214088,2.07938704,0.915803179,2.9,1.1,0.640555755,3.641844521,0
42,28.99224513,0.778761062,0.393449169,0.676386481,0.900900901,0.0302777,0.0302777,0.073349938,4.0625,6.25,0.926877828,2.104836592,1.658733524,2.096857003,0.873147586,2.9,1.1,0.85974543,3.276144213,0
43,27.54055314,0.789473684,0.023132152,0.026796642,0.892857143,0.016844624,0.016844624,0.075252525,4.0625,6.25,0.923161597,2.127983634,1.614659534,2.038291167,0.903395908,2.9,1.2,0.640555755,2.956159519,0.082644628
44,28.10876673,0.771929825,0.077423325,0.513653974,0.892857143,0.025773196,0.025773196,0.067398119,4.0625,6.25,0.917166526,2.136384991,1.638665087,2.07094259,0.891150237,2.9,1.2,0.726678162,2.857825731,0.082644628
