Gen,total_rating,scale_correctness_rating,zipfs_law_distance_pitches,zipfs_law_distance_intervals,neighbour_pitch_rating,melody_direction_rating,direction_stability_rating,unique_pitches_rating,bindings_rating,measures_rating,types_distance_rating,semitones_distance_rating,pitches_distance_rating,duration_distance_rating,offsets_distance_rating,absolute_rhythm_rating,absolute_types_rating,types_distr_rating,interval_distr_distance_rating,element_count_rating
1,25.77960038,0.315789474,0.267455003,0.141319728,0.008928571,0.007916053,0.043630339,0.021980075,4.270833333,3.90625,1.467916794,2.351703743,1.716777467,3.327317135,1.003934856,2.8,0.9,0.911157025,2.110079213,0.20661157
2,26.50575004,0.324324324,0.328941288,0.065373448,0.027272727,0.01059044,0.01059044,0.039103362,3.854166667,3.90625,1.439414031,2.459056585,1.586088339,3.275614257,1.067568132,3.1,1.5,1.07459623,2.271510516,0.165289256
3,25.28181768,0.342342342,0.385329777,0.851399997,0.018181818,0.007591378,0.007591378,0.022570533,3.645833333,2.34375,1.442575806,2.529150541,1.588072502,3.153235269,1.023628242,3.2,1.5,1.041322314,2.055275508,0.123966942
4,24.751893,0.306306306,0.361103497,0.312343093,0.018181818,0.01059044,0.01059044,0.022570533,3.854166667,3.125,1.353563269,2.574946372,1.783623059,3.047703005,1.028829928,3,1,0.640555755,2.05388493,0.247933884
5,24.47931915,0.314814815,0.112095538,0.392139873,0.037383178,0.011754504,0.011754504,0.028562218,3.75,2.34375,1.259405178,2.578953209,1.665321819,3.134464971,0.945291067,3.1,1.3,0.963926737,2.28176766,0.247933884
6,25.33922208,0.330275229,0.242589894,0.87482446,0.018518519,0.016513937,0.016513937,0.025016119,3.854166667,3.125,1.306072609,2.463166841,1.645750523,3.085553749,0.958153396,3.1,1.3,0.712317985,2.01685433,0.247933884
7,23.9802262,0.280373832,0.118021751,0.881175119,0,0.006905271,0.006905271,0.039935065,3.75,1.5625,1.311342122,2.605724604,1.782799324,3.105675183,0.930103938,3.1,1.2,0.714302112,2.212561781,0.371900826
8,23.64990642,0.293577982,0.100601278,0.221308031,0,0.007254677,0.007254677,0.038476312,3.645833333,2.34375,1.3420066,2.473331729,1.827136893,3.075055728,1.003990645,3.1,1.2,0.519857668,2.119892359,0.330578512
9,23.62843557,0.311926606,0.093713005,0.17141052,0,0.007254677,0.007254677,0.027272727,3.75,2.34375,1.281612523,2.39279416,1.749363277,3.087726742,0.968113879,3.1,1.2,0.61707989,2.188584378,0.330578512
10,22.86236821,0.339285714,0.059949896,0.473538861,0.009009009,0.012259682,0.012259682,0.032254047,3.333333333,1.5625,1.429112809,2.397215213,1.616439291,3.144030802,0.961366756,3.1,1.4,0.6483998,2.166124059,0.165289256
11,22.54318613,0.321428571,0.142662913,0.005279557,0.009009009,0.012259682,0.012259682,0.032254047,3.541666667,1.5625,1.419304312,2.40443632,1.69321753,3.076682201,0.985359389,3.1,1.3,0.585548358,2.13270632,0.20661157
